Streaming from http://sc.local/log (Ctrl-C to stop)

Time  State  Bat(V)  Drive(A)  Jack(A)  Aux(A)  Counter  Stable  Raw  DrHeat  JkHeat  AxHeat
2026-02-17 16:11:48.775  IDLE  13.398  0.04  0.06  -0.07  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:48.794  IDLE  13.396  0.04  -0.17  0.02  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:48.814  IDLE  13.396  0.04  -0.12  -0.07  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:48.835  IDLE  13.395  -0.27  0.08  0.04  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:48.854  IDLE  13.395  1.02  -0.03  -0.14  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:48.874  IDLE  13.395  0.03  0.06  -0.43  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:48.894  IDLE  13.391  -0.04  0.01  -0.14  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:48.915  IDLE  13.397  1.01  -0.17  -0.11  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:50.535  IDLE  13.419  0.58  -0.20  -0.10  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:50.555  IDLE  13.139  -0.03  0.09  0.03  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:50.575  IDLE  13.263  0.35  -0.04  -0.04  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:50.594  IDLE  13.321  0.27  0.09  0.28  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:50.614  IDLE  13.358  0.04  -0.23  0.03  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:50.635  IDLE  13.350  0.42  -0.09  0.03  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:50.655  IDLE  13.334  0.57  -0.09  0.14  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
